name_plot_dict_key,knee_point,EOL
aiken,139.2,223
aiken,63.7,84
aiken,138,228
aiken,269.9,340
attia,793.9,889
attia,689.7,783
attia,820.9,894
attia,745.8,886
attia,726,837
attia,687.6,786
attia,537.8,625
attia,608.6,693
attia,795,933
attia,744.6,862
attia,818.9,933
attia,900.9,1020
attia,627,763
attia,627.8,778
attia,705.7,794
attia,607.7,687
attia,906.6,1068
attia,897.9,1016
attia,402.9,470
attia,422.9,491
attia,449.7,517
attia,730.7,843
attia,754.6,907
attia,724.7,803
attia,525.7,638
attia,499,573
attia,667,773
attia,432.8,516
attia,779.9,924
attia,964.9,1101
attia,555,611
attia,795.7,896
attia,954.8,1212
attia,619.8,759
attia,601.9,672
attia,913.9,1117
attia,787,856
attia,712.7,797
attia,709.8,777
attia,847.7,972
attia,832.9,947
attia,616.8,735
attia,468.8,541
attia,557.7,699
attia,369,456
baumhofer,1263.9,1176
baumhofer,1209.2,1093
baumhofer,1395.7,1344
baumhofer,1341.9,1268
baumhofer,1115.1,1030
baumhofer,1243.8,1169
baumhofer,1268.9,1211
baumhofer,1117,1042
baumhofer,1085.2,957
baumhofer,1104.3,1005
baumhofer,1066.3,950
baumhofer,1105.3,1022
baumhofer,1279,1203
baumhofer,1122.3,1044
baumhofer,1432.7,1341
baumhofer,1404.7,1356
baumhofer,1231,1152
baumhofer,1071,992
baumhofer,1106,1063
baumhofer,1129.8,1081
baumhofer,1191.9,1148
baumhofer,1119.6,1135
baumhofer,1319.9,1246
baumhofer,1337.8,1298
baumhofer,1132.2,1048
baumhofer,1199.8,1137
baumhofer,1215.3,1183
baumhofer,1265.7,1233
baumhofer,1326.7,1286
baumhofer,1143,1055
baumhofer,1171.8,1145
baumhofer,1129.3,1094
baumhofer,1105.3,1062
baumhofer,1155.8,1140
baumhofer,1389.9,1311
baumhofer,1073.3,1046
baumhofer,1242.9,1182
baumhofer,1117.9,1077
baumhofer,1082.2,1058
baumhofer,1114,1039
baumhofer,1128.1,1063
baumhofer,1129,1061
baumhofer,1195.8,1142
baumhofer,1331.9,1277
baumhofer,1207.2,1120
baumhofer,1304.9,1267
baumhofer,1226.1,1155
baumhofer,1233,1166
broussely,367.7,300
broussely,106.9,117
burns,161.9,161
burns,116.7,116
coron,192.3,236
coron,191.2,216
coron,204,280
coron,175.7,203
coron,96,105
diao,562.8,586
diao,560.6,589
diao,341.3,328
diao,371.3,334
diao,381.3,376
diao,363.3,362
diao,348.1,355
diao,144.3,158
diao,149.3,138
diao,131.3,141
diao,157,159
diao,161.2,153
diao,569.7,612
diao,157.3,159
diao,156.3,156
diao,153.1,155
diao,290.9,293
diao,155.1,161
diao,151.1,143
diao,152.1,155
diao,148.3,141
diao,154.1,154
diao,153.2,155
diao,552.8,574
diao,155.1,163
diao,154.2,157
diao,112.1,84
diao,117.2,101
diao,579.8,604
diao,575.6,605
diao,564.7,585
diao,364.2,355
diao,385.3,386
diao,366.2,349
dubarry,587,565
dubarry,714.8,691
dubarry,633.1,669
dubarry,593.1,624
dubarry,569.2,610
epding,428.1,559
epding,351.3,720
epding,427.1,558
keil_charging,563.2,813
keil_charging,890.7,923
keil_charging,379.1,1086
keil_charging,363.1,1033
keil_charging,531,619
keil_linear,413,403
keil_linear,568.8,554
keil_linear,400.9,411
keil_linear,389.8,400
keil_linear,555.9,557
keil_linear,550.8,581
klett,1465.3,1515
martinez,1963.8,2055
petzl,39.1,142
petzl,38.2,100
petzl,43.2,92
schuster,862.7,828
schuster,631.9,269
schuster,437.8,235
schuster,1511.7,1207
schuster,627.6,525
schuster,448,404
schuster,346.2,347
schuster,303.9,299
schuster,630.9,512
schuster,864.7,817
schuster,1515.9,1208
schuster,631.7,611
schuster,111.9,121
schuster,630,507
schuster,863.9,443
severson,1259.9,1852
severson,1629.8,2160
severson,586,788
severson,645.9,880
severson,544.6,719
severson,662.9,862
severson,642.8,857
severson,560.9,691
severson,569,788
severson,1683.8,2237
severson,396.9,534
severson,435.6,559
severson,758.9,1014
severson,750.7,1017
severson,608.8,854
severson,646,870
severson,632.9,842
severson,619,860
severson,672.8,917
severson,1028.8,1434
severson,546.9,709
severson,664,876
severson,539.8,731
severson,553.7,757
severson,574.7,742
severson,518.7,703
severson,519.8,704
severson,479.9,648
severson,465.6,617
severson,463.7,625
severson,1252.9,1709
severson,690.8,966
severson,790.7,1051
severson,499.9,702
severson,484.7,651
severson,433.7,616
severson,429,599
severson,866.8,1074
severson,509.9,636
severson,639.9,870
severson,787.7,1054
severson,217.6,300
severson,427.8,561
severson,359.8,477
severson,363.8,458
severson,376,483
severson,380.7,485
severson,383.9,494
severson,385.7,487
severson,398,461
severson,344.7,438
severson,374.8,502
severson,378.7,489
severson,398.9,513
severson,408.7,527
severson,387,495
severson,364.8,461
severson,363.7,471
severson,363.7,468
severson,392.9,509
severson,392,498
severson,242.9,335
severson,378.8,481
severson,379,492
severson,405.7,519
severson,408.7,520
severson,394.9,499
severson,371.7,463
severson,412.9,535
severson,376.9,478
severson,371.9,465
severson,361.9,459
severson,347.8,444
severson,378.9,499
severson,335.7,429
severson,357.7,466
severson,353.8,462
severson,358.8,457
severson,382,487
severson,342.7,429
severson,374.7,480
severson,445.9,511
severson,833.8,1010
severson,860.7,1064
severson,859.9,1079
severson,632.7,818
severson,742.7,933
severson,623.8,817
severson,663,859
severson,666.7,877
severson,1283.9,1639
severson,1017.9,1316
severson,896.7,1147
severson,898.8,1156
severson,668.8,814
severson,613.8,773
severson,858.6,1003
severson,672.8,826
severson,814.9,990
severson,789.9,1029
severson,669.8,851
severson,386.8,542
severson,660.8,859
severson,895.9,1116
severson,756.7,936
severson,588.6,732
severson,913.6,1159
severson,839.8,1094
severson,788,924
severson,809.7,1049
severson,614.8,797
severson,1263.7,1643
severson,856,1047
severson,777.7,941
severson,1404.9,1802
severson,668.8,829
severson,480.6,668
severson,1419.8,1837
severson,677.8,829
severson,833.7,1040
willenberg,304.8,295
willenberg,345.7,327
willenberg,280.8,294
willenberg,258.9,297
